"Twin","RMSE_mAge_BernabeuE2023c","RMSE_mAge_CBL_common","RMSE_mAge_CBL_specific","RMSE_mAge_Cortex_common","RMSE_mAge_epiTOC2","RMSE_mAge_HannumG2013","RMSE_mAge_HorvathS2018","RMSE_mAge_LevineM2018","RMSE_mAge_LuA2019","RMSE_mAge_LuA2023p1","RMSE_mAge_LuA2023p2","RMSE_mAge_LuA2023p3","RMSE_mAge_McEwenL2019","RMSE_mAge_PCHannumG2013","RMSE_mAge_PCHorvathS2013","RMSE_mAge_PCHorvathS2018","RMSE_mAge_PCPhenoAge","RMSE_mAge_ShirebyG2020","RMSE_mAge_ZhangQ2019","RMSE_mAge_ZhangY2017"
"dizygotic_twinpair_48",2.32357316732108,8.71313927590361,19.1759979857772,4.313339946297,1425.18480510126,6.04874194855983,8.54827845823961,16.8041956523322,32.5806080243963,1.14410852397741,18.278277503955,12.8221145049302,25.1843686427963,29.4529797271985,11.7968319110545,7.27438570064217,34.6482911973683,17.2370948756189,1.86715258979681,39.6958410475224
"dizygotic_twinpair_49",9.39807164613427,6.63502088081601,0.580719075606411,18.9051526684197,1428.38659436489,7.82367519643246,6.72014665159227,21.7876080845707,55.6723354238726,13.0732933846606,1.93370363860208,7.48243472844673,43.9621118278021,14.7622093297344,2.61374240156622,4.19793624911108,25.6135572476048,7.90789491055288,9.0897851959098,62.6467241492877
"dizygotic_twinpair_5",1.95896719200888,2.34078987138031,15.340425099257,13.7833417672599,1484.01264767346,11.0127830163612,5.87397603687769,17.2486175210772,38.3824440041095,11.2571016113628,6.22496811526454,1.71514858129193,25.4925667410229,26.4035405995068,3.81770459016735,5.4321536869687,38.9237336375643,12.3613626917874,1.63667769516074,45.3169929203629
"dizygotic_twinpair_50",7.53198369957349,7.7237502937257,2.94562300125445,21.094618601303,1637.74734937958,6.23260861711259,8.30791278034834,22.6095582792744,58.1520453619478,25.309360555474,6.88773159817883,11.9595767414026,42.510906948841,10.9125017264517,2.33325000618482,6.88361877325951,23.0428935209362,7.73681995450797,6.57593081553581,65.3774540062332
"dizygotic_twinpair_51",14.7113975937261,11.3199534717878,4.50522265633141,21.7659773054952,1506.16096558505,12.0920734665193,6.8773769449133,33.8175910621757,57.3206368862083,25.488888389063,9.23148581201033,15.9726964793688,46.1170677000597,8.530998856581,7.27951020991434,17.7579810373845,14.8236259900134,4.52723968902032,13.4753915587344,64.7560850719265
"dizygotic_twinpair_52",10.425437790431,7.65255789201213,2.17979041436414,26.3153152192228,2226.89736661136,3.24020852388803,9.36990209446471,25.0206854248147,66.8358715587466,28.517390834357,11.5093900124454,19.6194395033925,47.0708807733465,8.08349808688959,5.98517935556774,10.874945716841,19.5994279435988,8.12869608572776,12.3246828650152,73.8973303035001
"dizygotic_twinpair_53",15.6128942040102,9.37462884242588,3.03359151097394,23.1228316663075,1489.22168298996,13.1940615486534,1.68532264568511,36.6555819033082,64.5685783247358,30.6260202689607,12.6490902029813,17.3750251940504,50.7425333884934,0.716908526427747,13.1498838448839,23.1990681378683,9.97075514460792,2.4782145527477,15.5867868008533,71.8615236586899
"dizygotic_twinpair_54",7.29507093119342,3.33944354664664,8.4205915923247,15.194423620373,1604.49420974572,2.99087397821545,3.92881236322763,24.8881143074378,43.7914138179082,16.2541564181355,1.5262164552254,3.87576615391868,35.2202364556437,16.4691733422672,2.79109761902912,6.72278855981372,25.4297913350548,7.63123768534871,6.72638317763375,51.0573314477562
"dizygotic_twinpair_55",11.8674592583546,6.91759644109201,6.3543243901353,22.5303343379928,1920.36778272532,3.75422871675927,8.62974304687123,24.3969441309432,57.273197196849,27.9731908478226,8.12051531519664,14.9777984658717,40.0864275776561,14.5738324797635,4.65209915899037,7.17599333863686,24.7584551994797,9.74513951097826,12.185165816251,64.3673858409999
"dizygotic_twinpair_56",7.06460386268212,2.77194778425611,12.5613751918369,12.4063560868262,1622.9393583318,1.11942707541097,5.37003666958908,19.9927051290909,39.7032366119849,12.9552114178147,3.6025811457868,4.18989205459427,30.4217452565165,21.5198188368342,2.81786951886793,2.41953678330882,32.9408673565802,8.23001514004026,4.38260489945372,46.9627379409572
